,instance_name,num_agents,planner,single_agent_planner,trail,success,n_collision,time,path_length,mean_acc,mean_jerk,mean_geo,expansions,dynamic,diffusion_step,constraint,trail_path
41,DropRegion,6,CBS,KCBSLower,8,0,2,1.912449836730957,2.8355997800827026,0.01803585576514403,0.02410806342959404,0.001895533447774748,5,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___6/planner___CBS/single_agent_planner___KCBSLower/8
42,DropRegion,6,CBS,KCBSLower,4,1,0,3.9327540397644043,2.7779999574025473,0.016699963559707005,0.022578222056229908,0.0015139547855748485,9,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___6/planner___CBS/single_agent_planner___KCBSLower/4
43,DropRegion,6,CBS,KCBSLower,3,0,1,4.506417274475098,3.015600005785624,0.01749132014811039,0.02413256512954831,0.0019680314192858837,10,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___6/planner___CBS/single_agent_planner___KCBSLower/3
44,DropRegion,6,CBS,KCBSLower,2,1,0,1.6805870532989502,2.706000049908956,0.018954200359682243,0.024447284638881683,0.0019535498577170074,4,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___6/planner___CBS/single_agent_planner___KCBSLower/2
45,DropRegion,6,CBS,KCBSLower,5,0,1,28.190895080566406,2.318400025367737,0.022823366646965344,0.030228052909175556,0.0022728107675599554,7,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___6/planner___CBS/single_agent_planner___KCBSLower/5
46,DropRegion,6,CBS,WAStar,0,1,0,0.45531582832336426,2.233333249886831,0.021591590562214453,0.0237024260374407,0.0023188401391962543,5,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___6/planner___CBS/single_agent_planner___WAStar/0
47,DropRegion,6,ECBS,WAStar,0,1,0,0.518742561340332,2.233333249886831,0.021591590562214453,0.0237024260374407,0.0023188401391962543,3,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___6/planner___ECBS/single_agent_planner___WAStar/0
48,DropRegion,12,CBS,KCBSLower,9,1,0,41.422104835510254,2.743199944496155,0.01748561137355864,0.023959616509576637,0.0017823390274619062,37,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___12/planner___CBS/single_agent_planner___KCBSLower/9
49,DropRegion,12,CBS,KCBSLower,0,0,4,63.41093564033508,2.621400088071823,0.01765869736361007,0.023824640937770408,0.0017915958887897432,25,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___12/planner___CBS/single_agent_planner___KCBSLower/0
50,DropRegion,12,CBS,KCBSLower,7,0,1,8.818788290023804,2.7389999826749167,0.015018223086372018,0.020101195434108377,0.0015681712635948013,22,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___12/planner___CBS/single_agent_planner___KCBSLower/7
